id,total_distance,path,seed,img
0,'2591.78,'resto1;resto1;client4;resto2;client2;resto3;client3;client1',729
1,'3199.9,'resto1;resto1;client4;resto2;client1;client2;resto3;client3',454
2,'3237.12,'resto2;client2;resto3;resto1;client1;client3;resto1;client4',59
3,'3418.46,'resto3;resto1;client3;resto1;client4;resto2;client2;client1',199
4,'3680.74,'resto1;resto1;client1;client4;resto3;client3;resto2;client2',491
5,'3819.51,'resto3;resto1;client3;resto2;client2;client1;resto1;client4',270
6,'3857.19,'resto2;resto1;client1;client2;resto3;resto1;client3;client4',471
7,'3875.92,'resto2;client2;resto1;client1;resto3;client3;resto1;client4',216
8,'3990.0,'resto3;resto1;client1;resto2;client2;client3;resto1;client4',716
9,'4223.56,'resto3;resto1;client1;resto1;client4;client3;resto2;client2',583
10,'4257.85,'resto3;resto1;client1;resto1;client3;resto2;client4;client2',34
11,'4275.74,'resto3;resto1;client1;client3;resto2;client2;resto1;client4',272
12,'4435.97,'resto3;resto1;client3;resto2;client2;resto1;client1;client4',217
13,'4459.38,'resto1;resto3;client1;resto1;client4;resto2;client3;client2',546
14,'4476.23,'resto2;client2;resto1;resto3;client1;resto1;client4;client3',3
15,'4671.94,'resto3;resto1;client3;resto2;client1;resto1;client2;client4',543
16,'4891.14,'resto3;resto1;client1;resto2;client3;client2;resto1;client4',382
