id,total_distance,path,seed,img
0,'46126.1,'resto2;client2;resto1;client1;resto3;client3;resto4;client4',7526
1,'48632.3,'resto3;resto4;resto2;client4;client3;resto1;client2;client1',14226
2,'50440.3,'resto3;resto2;resto4;client3;resto1;client1;client4;client2',6409
3,'50898.6,'resto4;resto2;client4;resto1;client2;client1;resto3;client3',13110
4,'54641.9,'resto1;resto2;client1;resto3;client2;resto4;client3;client4',11993
5,'55779.1,'resto2;resto4;resto1;client1;client2;resto3;client3;client4',866
6,'57395.8,'resto2;resto1;resto4;client4;client1;resto3;client3;client2',826
7,'59734.7,'resto1;resto4;resto3;client1;resto2;client4;client2;client3',8643
8,'61319.5,'resto1;resto4;client1;client4;resto2;resto3;client3;client2',5293
9,'61596.1,'resto2;client2;resto4;resto3;client4;resto1;client3;client1',4176
10,'62077.9,'resto4;resto1;resto2;client4;client2;resto3;client1;client3',14187
11,'62656.7,'resto4;resto1;client4;client1;resto2;resto3;client2;client3',9760
12,'65410.9,'resto3;resto2;resto1;resto4;client1;client3;client2;client4',3059
13,'74059.4,'resto2;resto4;resto1;client4;resto3;client2;client3;client1',10876
14,'77426.0,'resto1;resto4;client4;resto3;resto2;client3;client2;client1',1943
